prof_id,week_day,hour,semester,academic_year,module,degree,room,degree_year
28,Wed,12,1,2023/2024,Toxicology and applied pharmacology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],2
57,Mon,11,1,2023/2024,Laboratorio di bioinformatica Mod.1 Teoria,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,Aula T.03 [Borgo Roma - Ca' Vignal 3],3
57,Mon,12,1,2023/2024,Laboratorio di bioinformatica Mod.1 Teoria,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,Aula T.03 [Borgo Roma - Ca' Vignal 3],3
74,Fri,10,1,2023/2024,Genetica,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula D [Borgo Roma - Ca' Vignal 1],2
74,Fri,11,1,2023/2024,Genetica,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula D [Borgo Roma - Ca' Vignal 1],2
74,Mon,16,1,2023/2024,Human genomics and epigenomics,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula T.06 [Borgo Roma - Ca' Vignal 3],1
74,Mon,17,1,2023/2024,Human genomics and epigenomics,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula T.06 [Borgo Roma - Ca' Vignal 3],1
74,Thu,12,1,2023/2024,Genetica,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula D [Borgo Roma - Ca' Vignal 1],2
74,Thu,13,1,2023/2024,Genetica,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula D [Borgo Roma - Ca' Vignal 1],2
74,Tue,10,1,2023/2024,Human genome sequencing and interpretation Teoria,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
74,Tue,11,1,2023/2024,Human genome sequencing and interpretation Teoria,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
