prof_id,week_day,hour,semester,academic_year,module,degree,room,degree_year
13,Tue,11,1,2023/2024,Computational analysis of genome-scale sequences,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula T.06 [Borgo Roma - Ca' Vignal 3],2
13,Tue,12,1,2023/2024,Computational analysis of genome-scale sequences,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula T.06 [Borgo Roma - Ca' Vignal 3],2
13,Wed,13,1,2023/2024,Computational analysis of genome-scale sequences,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula I [Borgo Roma - Ca' Vignal 2],2
13,Wed,14,1,2023/2024,Computational analysis of genome-scale sequences,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula I [Borgo Roma - Ca' Vignal 2],2
40,Mon,10,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Mon,11,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Mon,10,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Mon,11,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Mon,12,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Mon,13,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Mon,14,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Mon,12,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Mon,13,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Mon,14,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Thu,11,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Thu,12,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Thu,11,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Thu,12,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Thu,13,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,Computational,"[1,2]"
40,Thu,14,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,Computational,"[1,2]"
40,Tue,10,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Tue,11,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Tue,12,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Thu,13,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Computational,"[1,2]"
40,Thu,14,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Computational,"[1,2]"
40,Tue,10,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Tue,11,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Tue,12,1,2023/2024,Computational algebra,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Aula G [Borgo Roma - Ca' Vignal 2],"[1,2]"
40,Wed,9,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,10,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,11,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,12,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,13,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,9,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,10,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,11,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,12,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
40,Wed,13,1,2023/2024,Algebra lineare con elementi di geometria ALGEBRA LINEARE,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula E [Borgo Roma - Ca' Vignal 1],1
59,Fri,14,1,2023/2024,Programming and database Programming,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula Alfa [Borgo Roma - Ca' Vignal 2],1
59,Fri,15,1,2023/2024,Programming and database Programming,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula Alfa [Borgo Roma - Ca' Vignal 2],1
59,Tue,8,1,2023/2024,Programming and database Programming,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula 1.01 [Borgo Roma - Ca' Vignal 3],1
59,Tue,9,1,2023/2024,Programming and database Programming,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula 1.01 [Borgo Roma - Ca' Vignal 3],1
63,Fri,12,1,2023/2024,Optimization,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Aula H [Borgo Roma - Ca' Vignal 2],2
63,Fri,13,1,2023/2024,Optimization,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Aula H [Borgo Roma - Ca' Vignal 2],2
63,Mon,13,1,2023/2024,Optimization,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Auletta Atrio CV1 [Borgo Roma - Ca' Vignal 1],2
63,Mon,14,1,2023/2024,Optimization,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,Auletta Atrio CV1 [Borgo Roma - Ca' Vignal 1],2
51,Thu,9,1,2023/2024,Laboratorio di bioinformatica Mod.1 Laboratorio,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,Aula Alfa [Borgo Roma - Ca' Vignal 2],3
51,Thu,10,1,2023/2024,Laboratorio di bioinformatica Mod.1 Laboratorio,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,Aula Alfa [Borgo Roma - Ca' Vignal 2],3
