prof_id,week_day,hour_begin,hour_end,level,note,constraint
27,Fri,18:30,19:30,undesired,,"not (Fri, [18:30, 19:30])"
27,Mon,08:30,09:30,impossible,,"NOT (Mon, [08:30, 09:30])"
27,Tue,08:30,09:30,impossible,,"NOT (Tue, [08:30, 09:30])"
41,Tue,10:30,12:30,undesired,,"not (Tue, [10:30, 12:30])"
41,Wed,10:30,12:30,undesired,,"not (Wed, [10:30, 12:30])"
41,Thu,10:30,12:30,undesired,,"not (Thu, [10:30, 12:30])"
41,Fri,10:30,12:30,undesired,,"not (Fri, [10:30, 12:30])"
41,Mon,10:30,12:30,impossible,,"NOT (Mon, [10:30, 12:30])"
41,,,,,NO all mornings. Best Tuesday afternoons from 14:30 and Friday afternoons from 14:30,"NOT (*, [-inf, 12:00]) & OK (Tue, [14:30, inf]) & OK (Fri, [14:30, inf])"
44,Mon,10:30,11:30,undesired,,"not (Mon, [10:30, 11:30])"
44,Tue,08:30,09:30,undesired,,"not (Tue, [08:30, 09:30])"
44,Wed,08:30,09:30,undesired,,"not (Wed, [08:30, 09:30])"
44,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
44,Fri,08:30,09:30,undesired,,"not (Fri, [08:30, 09:30])"
44,Mon,08:30,10:30,impossible,,"NOT (Mon, [08:30, 10:30])"
26,Mon,17:30,19:30,undesired,,"not (Mon, [17:30, 19:30])"
26,Tue,17:30,19:30,undesired,,"not (Tue, [17:30, 19:30])"
26,Wed,17:30,19:30,undesired,,"not (Wed, [17:30, 19:30])"
26,Thu,17:30,19:30,undesired,,"not (Thu, [17:30, 19:30])"
26,Fri,17:30,19:30,impossible,,"NOT (Fri, [17:30, 19:30])"
31,Tue,08:30,14:30,undesired,,"not (Tue, [08:30, 14:30])"
31,,,,,NO Tuesday morning,"NOT (Tue, [-inf, 12:00])"
68,Mon,14:30,17:30,undesired,,"not (Mon, [14:30, 17:30])"
68,Wed,14:30,19:30,undesired,,"not (Wed, [14:30, 19:30])"
68,Fri,17:30,19:30,impossible,,"NOT (Fri, [17:30, 19:30])"
81,Mon,18:30,19:30,undesired,,"not (Mon, [18:30, 19:30])"
81,Tue,18:30,19:30,undesired,,"not (Tue, [18:30, 19:30])"
81,Wed,08:30,09:30,undesired,,"not (Wed, [08:30, 09:30])"
81,Wed,18:30,19:30,undesired,,"not (Wed, [18:30, 19:30])"
81,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
81,Thu,18:30,19:30,undesired,,"not (Thu, [18:30, 19:30])"
81,Fri,08:30,09:30,undesired,,"not (Fri, [08:30, 09:30])"
81,Fri,18:30,19:30,undesired,,"not (Fri, [18:30, 19:30])"
81,Mon,08:30,09:30,impossible,,"NOT (Mon, [08:30, 09:30])"
